[56547][ 47][100]=30604241434040404
[57854][ 48][206]=30604241436242425
[57855][ 48][207]=30604241436242427
[57856][ 48][208]=30604241436242605
[57857][ 48][209]=30604241436242607
[57858][ 48][210]=30604241436242625
[57859][ 48][211]=30604241436242627
[57860][ 48][212]=30604241436260405
[57861][ 48][213]=30604241436260407
[57862][ 48][214]=30604241436260425
[57863][ 48][215]=30604241436260427
[57864][ 48][216]=30604241436260605
[57865][ 48][217]=30604241436260607
[57866][ 48][218]=30604241436260625
[57867][ 48][219]=30604241436260627
[57868][ 48][220]=30604241436262405
[57869][ 48][221]=30604241436262407
[57870][ 48][222]=30604241436262425
[57871][ 48][223]=30604241436262427
[57872][ 48][224]=30604241436262605
[57873][ 48][225]=30604241436262607
[57874][ 48][226]=30604241436262625
[57875][ 48][227]=30604241436262627
[58949][ 49][100]=30604241434040414
[58950][ 49][101]=30604241434040416
[58951][ 49][102]=30604241434040434
[58952][ 49][103]=30604241434040436
[58953][ 49][104]=30604241434040614
[58954][ 49][105]=30604241434040616
[58955][ 49][106]=30604241434040634
[58956][ 49][107]=30604241434040636
[58957][ 49][108]=30604241434042414
[58958][ 49][109]=30604241434042416
[58959][ 49][110]=30604241434042434
[58960][ 49][111]=30604241434042436
[58961][ 49][112]=30604241434042614
[58962][ 49][113]=30604241434042616
[58963][ 49][114]=30604241434042634
[58964][ 49][115]=30604241434042636
[58965][ 49][116]=30604241434060414
[58966][ 49][117]=30604241434060416
[58967][ 49][118]=30604241434060434
[58968][ 49][119]=30604241434060436
[58969][ 49][120]=30604241434060614
[58970][ 49][121]=30604241434060616
[58971][ 49][122]=30604241434060634
[58972][ 49][123]=30604241434060636
[58973][ 49][124]=30604241434062414
[58974][ 49][125]=30604241434062416
[58975][ 49][126]=30604241434062434
[58976][ 49][127]=30604241434062436
[58977][ 49][128]=30604241434062614
[58978][ 49][129]=30604241434062616
[58979][ 49][130]=30604241434062634
[58980][ 49][131]=30604241434062636
[58981][ 49][132]=30604241434240414
[58982][ 49][133]=30604241434240416
[58983][ 49][134]=30604241434240434
[58984][ 49][135]=30604241434240436
[58985][ 49][136]=30604241434240614
[58986][ 49][137]=30604241434240616
[58987][ 49][138]=30604241434240634
[58988][ 49][139]=30604241434240636
[58989][ 49][140]=30604241434242414
[58990][ 49][141]=30604241434242416
[58991][ 49][142]=30604241434242434
[58992][ 49][143]=30604241434242436
[58993][ 49][144]=30604241434242614
[58994][ 49][145]=30604241434242616
[58995][ 49][146]=30604241434242634
[58996][ 49][147]=30604241434242636
[58997][ 49][148]=30604241434260414
[58998][ 49][149]=30604241434260416
[58999][ 49][150]=30604241434260434
[59000][ 49][151]=30604241434260436
[59001][ 49][152]=30604241434260614
[59002][ 49][153]=30604241434260616
[59003][ 49][154]=30604241434260634
[59004][ 49][155]=30604241434260636
[59005][ 49][156]=30604241434262414
[59006][ 49][157]=30604241434262416
[59007][ 49][158]=30604241434262434
[59008][ 49][159]=30604241434262436
[59009][ 49][160]=30604241434262614
[59010][ 49][161]=30604241434262616
[59011][ 49][162]=30604241434262634
[59012][ 49][163]=30604241434262636
[59013][ 49][164]=30604241436040414
[59014][ 49][165]=30604241436040416
[59015][ 49][166]=30604241436040434
[59016][ 49][167]=30604241436040436
[59017][ 49][168]=30604241436040614
[59018][ 49][169]=30604241436040616
[59019][ 49][170]=30604241436040634
[59020][ 49][171]=30604241436040636
[59021][ 49][172]=30604241436042414
[59022][ 49][173]=30604241436042416
[59023][ 49][174]=30604241436042434
[59024][ 49][175]=30604241436042436
[59025][ 49][176]=30604241436042614
[59026][ 49][177]=30604241436042616
[59027][ 49][178]=30604241436042634
[59028][ 49][179]=30604241436042636
[59029][ 49][180]=30604241436060414
[59030][ 49][181]=30604241436060416
[59031][ 49][182]=30604241436060434
[59032][ 49][183]=30604241436060436
[59033][ 49][184]=30604241436060614
[59034][ 49][185]=30604241436060616
[59035][ 49][186]=30604241436060634
[59036][ 49][187]=30604241436060636
[59037][ 49][188]=30604241436062414
[59038][ 49][189]=30604241436062416
[59039][ 49][190]=30604241436062434
[59040][ 49][191]=30604241436062436
[59041][ 49][192]=30604241436062614
[59042][ 49][193]=30604241436062616
[59043][ 49][194]=30604241436062634
[59044][ 49][195]=30604241436062636
[59045][ 49][196]=30604241436240414
[59046][ 49][197]=30604241436240416
[59047][ 49][198]=30604241436240434
[59048][ 49][199]=30604241436240436
[59049][ 49][200]=30604241436240614
[59050][ 49][201]=30604241436240616
[59051][ 49][202]=30604241436240634
[59052][ 49][203]=30604241436240636
[59053][ 49][204]=30604241436242414
[59054][ 49][205]=30604241436242416
[59055][ 49][206]=30604241436242434
[59056][ 49][207]=30604241436242436
[59057][ 49][208]=30604241436242614
[59058][ 49][209]=30604241436242616
[59059][ 49][210]=30604241436242634
[59060][ 49][211]=30604241436242636
[59061][ 49][212]=30604241436260414
[59062][ 49][213]=30604241436260416
[59063][ 49][214]=30604241436260434
[59064][ 49][215]=30604241436260436
[59065][ 49][216]=30604241436260614
[59066][ 49][217]=30604241436260616
[59067][ 49][218]=30604241436260634
[59068][ 49][219]=30604241436260636
[59069][ 49][220]=30604241436262414
[59070][ 49][221]=30604241436262416
[59071][ 49][222]=30604241436262434
[59072][ 49][223]=30604241436262436
[59073][ 49][224]=30604241436262614
[59074][ 49][225]=30604241436262616
[59075][ 49][226]=30604241436262634
[59076][ 49][227]=30604241436262636
[60150][ 50][100]=30604241434040415
[60151][ 50][101]=30604241434040417
[60152][ 50][102]=30604241434040435
[60153][ 50][103]=30604241434040437
[60154][ 50][104]=30604241434040615
[60155][ 50][105]=30604241434040617
[60156][ 50][106]=30604241434040635
[60157][ 50][107]=30604241434040637
[60158][ 50][108]=30604241434042415
[60159][ 50][109]=30604241434042417
[60160][ 50][110]=30604241434042435
[60161][ 50][111]=30604241434042437
[60162][ 50][112]=30604241434042615
[60163][ 50][113]=30604241434042617
[60164][ 50][114]=30604241434042635
[60165][ 50][115]=30604241434042637
[60166][ 50][116]=30604241434060415
[60167][ 50][117]=30604241434060417
[60168][ 50][118]=30604241434060435
[60169][ 50][119]=30604241434060437
[60170][ 50][120]=30604241434060615
[60171][ 50][121]=30604241434060617
[60172][ 50][122]=30604241434060635
[60173][ 50][123]=30604241434060637
[60174][ 50][124]=30604241434062415
[60175][ 50][125]=30604241434062417
[60176][ 50][126]=30604241434062435
[60177][ 50][127]=30604241434062437
[60178][ 50][128]=30604241434062615
[60179][ 50][129]=30604241434062617
[60180][ 50][130]=30604241434062635
[60181][ 50][131]=30604241434062637
[60182][ 50][132]=30604241434240415
[60183][ 50][133]=30604241434240417
[60184][ 50][134]=30604241434240435
[60185][ 50][135]=30604241434240437
[60186][ 50][136]=30604241434240615
[60187][ 50][137]=30604241434240617
[60188][ 50][138]=30604241434240635
[60189][ 50][139]=30604241434240637
[60190][ 50][140]=30604241434242415
[60191][ 50][141]=30604241434242417
[60192][ 50][142]=30604241434242435
[60193][ 50][143]=30604241434242437
[60194][ 50][144]=30604241434242615
[60195][ 50][145]=30604241434242617
[60196][ 50][146]=30604241434242635
[60197][ 50][147]=30604241434242637
[60198][ 50][148]=30604241434260415
[60199][ 50][149]=30604241434260417
[60200][ 50][150]=30604241434260435
[60201][ 50][151]=30604241434260437
[60202][ 50][152]=30604241434260615
[60203][ 50][153]=30604241434260617
[60204][ 50][154]=30604241434260635
[60205][ 50][155]=30604241434260637
[60206][ 50][156]=30604241434262415
[60207][ 50][157]=30604241434262417
[60208][ 50][158]=30604241434262435
[60209][ 50][159]=30604241434262437
[60210][ 50][160]=30604241434262615
[60211][ 50][161]=30604241434262617
[60212][ 50][162]=30604241434262635
[60213][ 50][163]=30604241434262637
[60214][ 50][164]=30604241436040415
[60215][ 50][165]=30604241436040417
[60216][ 50][166]=30604241436040435
[60217][ 50][167]=30604241436040437
[60218][ 50][168]=30604241436040615
[60219][ 50][169]=30604241436040617
[60220][ 50][170]=30604241436040635
[60221][ 50][171]=30604241436040637
[60222][ 50][172]=30604241436042415
[60223][ 50][173]=30604241436042417
[60224][ 50][174]=30604241436042435
[60225][ 50][175]=30604241436042437
[60226][ 50][176]=30604241436042615
[60227][ 50][177]=30604241436042617
[60228][ 50][178]=30604241436042635
[60229][ 50][179]=30604241436042637
[60230][ 50][180]=30604241436060415
[60231][ 50][181]=30604241436060417
[60232][ 50][182]=30604241436060435
[60233][ 50][183]=30604241436060437
[60234][ 50][184]=30604241436060615
[60235][ 50][185]=30604241436060617
[60236][ 50][186]=30604241436060635
[60237][ 50][187]=30604241436060637
[60238][ 50][188]=30604241436062415
[60239][ 50][189]=30604241436062417
[60240][ 50][190]=30604241436062435
[60241][ 50][191]=30604241436062437
[60242][ 50][192]=30604241436062615
[60243][ 50][193]=30604241436062617
[60244][ 50][194]=30604241436062635
[60245][ 50][195]=30604241436062637
[60246][ 50][196]=30604241436240415
[60247][ 50][197]=30604241436240417
[60248][ 50][198]=30604241436240435
[60249][ 50][199]=30604241436240437
[60250][ 50][200]=30604241436240615
[60251][ 50][201]=30604241436240617
[60252][ 50][202]=30604241436240635
[60253][ 50][203]=30604241436240637
[60254][ 50][204]=30604241436242415
[60255][ 50][205]=30604241436242417
[60256][ 50][206]=30604241436242435
[60257][ 50][207]=30604241436242437
[60258][ 50][208]=30604241436242615
[60259][ 50][209]=30604241436242617
[60260][ 50][210]=30604241436242635
[60261][ 50][211]=30604241436242637
[60262][ 50][212]=30604241436260415
[60263][ 50][213]=30604241436260417
[60264][ 50][214]=30604241436260435
[60265][ 50][215]=30604241436260437
[60266][ 50][216]=30604241436260615
[60267][ 50][217]=30604241436260617
[60268][ 50][218]=30604241436260635
[60269][ 50][219]=30604241436260637
[60270][ 50][220]=30604241436262415
[60271][ 50][221]=30604241436262417
[60272][ 50][222]=30604241436262435
[60273][ 50][223]=30604241436262437
[60274][ 50][224]=30604241436262615
[60275][ 50][225]=30604241436262617
[60276][ 50][226]=30604241436262635
[60277][ 50][227]=30604241436262637
[61351][ 51][100]=30604241434040504
[61352][ 51][101]=30604241434040506
[61353][ 51][102]=30604241434040524
[61354][ 51][103]=30604241434040526
[61355][ 51][104]=30604241434040704
[61356][ 51][105]=30604241434040706
[61357][ 51][106]=30604241434040724
[61358][ 51][107]=30604241434040726
[61359][ 51][108]=30604241434042504
[61360][ 51][109]=30604241434042506
[61361][ 51][110]=30604241434042524
[61362][ 51][111]=30604241434042526
[61363][ 51][112]=30604241434042704
[61364][ 51][113]=30604241434042706
[61365][ 51][114]=30604241434042724
[61366][ 51][115]=30604241434042726
[61367][ 51][116]=30604241434060504
[61368][ 51][117]=30604241434060506
[61369][ 51][118]=30604241434060524
[61370][ 51][119]=30604241434060526
[61371][ 51][120]=30604241434060704
[61372][ 51][121]=30604241434060706
[61373][ 51][122]=30604241434060724
[61374][ 51][123]=30604241434060726
[61375][ 51][124]=30604241434062504
[61376][ 51][125]=30604241434062506
[61377][ 51][126]=30604241434062524
[61378][ 51][127]=30604241434062526
[61379][ 51][128]=30604241434062704
[61380][ 51][129]=30604241434062706
[61381][ 51][130]=30604241434062724
[61382][ 51][131]=30604241434062726
[61383][ 51][132]=30604241434240504
[61384][ 51][133]=30604241434240506
[61385][ 51][134]=30604241434240524
[61386][ 51][135]=30604241434240526
[61387][ 51][136]=30604241434240704
[61388][ 51][137]=30604241434240706
[61389][ 51][138]=30604241434240724
[61390][ 51][139]=30604241434240726
[61391][ 51][140]=30604241434242504
[61392][ 51][141]=30604241434242506
[61393][ 51][142]=30604241434242524
[61394][ 51][143]=30604241434242526
[61395][ 51][144]=30604241434242704
[61396][ 51][145]=30604241434242706
[61397][ 51][146]=30604241434242724
[61398][ 51][147]=30604241434242726
[61399][ 51][148]=30604241434260504
[61400][ 51][149]=30604241434260506
[61401][ 51][150]=30604241434260524
[61402][ 51][151]=30604241434260526
[61403][ 51][152]=30604241434260704
[61404][ 51][153]=30604241434260706
[61405][ 51][154]=30604241434260724
[61406][ 51][155]=30604241434260726
[61407][ 51][156]=30604241434262504
[61408][ 51][157]=30604241434262506
[61409][ 51][158]=30604241434262524
[61410][ 51][159]=30604241434262526
[61411][ 51][160]=30604241434262704
[61412][ 51][161]=30604241434262706
[61413][ 51][162]=30604241434262724
[61414][ 51][163]=30604241434262726
[61415][ 51][164]=30604241436040504
[61416][ 51][165]=30604241436040506
[61417][ 51][166]=30604241436040524
[61418][ 51][167]=30604241436040526
[61419][ 51][168]=30604241436040704
[61420][ 51][169]=30604241436040706
[61421][ 51][170]=30604241436040724
[61422][ 51][171]=30604241436040726
[61423][ 51][172]=30604241436042504
[61424][ 51][173]=30604241436042506
[61425][ 51][174]=30604241436042524
[61426][ 51][175]=30604241436042526
[61427][ 51][176]=30604241436042704
[61428][ 51][177]=30604241436042706
[61429][ 51][178]=30604241436042724
[61430][ 51][179]=30604241436042726
[61431][ 51][180]=30604241436060504
[61432][ 51][181]=30604241436060506
[61433][ 51][182]=30604241436060524
[61434][ 51][183]=30604241436060526
[61435][ 51][184]=30604241436060704
[61436][ 51][185]=30604241436060706
[61437][ 51][186]=30604241436060724
[61438][ 51][187]=30604241436060726
[61439][ 51][188]=30604241436062504
[61440][ 51][189]=30604241436062506
[61441][ 51][190]=30604241436062524
[61442][ 51][191]=30604241436062526
[61443][ 51][192]=30604241436062704
[61444][ 51][193]=30604241436062706
[61445][ 51][194]=30604241436062724
[61446][ 51][195]=30604241436062726
[61447][ 51][196]=30604241436240504
[61448][ 51][197]=30604241436240506
[61449][ 51][198]=30604241436240524
[61450][ 51][199]=30604241436240526
[61451][ 51][200]=30604241436240704
[61452][ 51][201]=30604241436240706
[61453][ 51][202]=30604241436240724
[61454][ 51][203]=30604241436240726
[61455][ 51][204]=30604241436242504
[61456][ 51][205]=30604241436242506
[61457][ 51][206]=30604241436242524
[61458][ 51][207]=30604241436242526
[61459][ 51][208]=30604241436242704
[61460][ 51][209]=30604241436242706
[61461][ 51][210]=30604241436242724
[61462][ 51][211]=30604241436242726
[61463][ 51][212]=30604241436260504
[61464][ 51][213]=30604241436260506
[61465][ 51][214]=30604241436260524
[61466][ 51][215]=30604241436260526
[61467][ 51][216]=30604241436260704
[61468][ 51][217]=30604241436260706
[61469][ 51][218]=30604241436260724
[61470][ 51][219]=30604241436260726
[61471][ 51][220]=30604241436262504
[61472][ 51][221]=30604241436262506
[61473][ 51][222]=30604241436262524
[61474][ 51][223]=30604241436262526
[61475][ 51][224]=30604241436262704
[61476][ 51][225]=30604241436262706
[61477][ 51][226]=30604241436262724
[61478][ 51][227]=30604241436262726
[62552][ 52][100]=30604241434040505
[62553][ 52][101]=30604241434040507
[62554][ 52][102]=30604241434040525
[62555][ 52][103]=30604241434040527
[62556][ 52][104]=30604241434040705
[62557][ 52][105]=30604241434040707
[62558][ 52][106]=30604241434040725
[62559][ 52][107]=30604241434040727
[62560][ 52][108]=30604241434042505
[62561][ 52][109]=30604241434042507
[62562][ 52][110]=30604241434042525
[62563][ 52][111]=30604241434042527
[62564][ 52][112]=30604241434042705
[62565][ 52][113]=30604241434042707
[62566][ 52][114]=30604241434042725
[62567][ 52][115]=30604241434042727
[62568][ 52][116]=30604241434060505
[62569][ 52][117]=30604241434060507
[62570][ 52][118]=30604241434060525
[62571][ 52][119]=30604241434060527
[62572][ 52][120]=30604241434060705
[62573][ 52][121]=30604241434060707
[62574][ 52][122]=30604241434060725
[62575][ 52][123]=30604241434060727
[62576][ 52][124]=30604241434062505
[62577][ 52][125]=30604241434062507
[62578][ 52][126]=30604241434062525
[62579][ 52][127]=30604241434062527
[62580][ 52][128]=30604241434062705
[62581][ 52][129]=30604241434062707
[62582][ 52][130]=30604241434062725
[62583][ 52][131]=30604241434062727
[62584][ 52][132]=30604241434240505
[62585][ 52][133]=30604241434240507
[62586][ 52][134]=30604241434240525
[62587][ 52][135]=30604241434240527
[62588][ 52][136]=30604241434240705
[62589][ 52][137]=30604241434240707
[62590][ 52][138]=30604241434240725
[62591][ 52][139]=30604241434240727
[62592][ 52][140]=30604241434242505
[62593][ 52][141]=30604241434242507
[62594][ 52][142]=30604241434242525
[62595][ 52][143]=30604241434242527
[62596][ 52][144]=30604241434242705
[62597][ 52][145]=30604241434242707
[62598][ 52][146]=30604241434242725
[62599][ 52][147]=30604241434242727
[62600][ 52][148]=30604241434260505
[62601][ 52][149]=30604241434260507
[62602][ 52][150]=30604241434260525
[62603][ 52][151]=30604241434260527
[62604][ 52][152]=30604241434260705
[62605][ 52][153]=30604241434260707
[62606][ 52][154]=30604241434260725
[62607][ 52][155]=30604241434260727
[62608][ 52][156]=30604241434262505
[62609][ 52][157]=30604241434262507
[62610][ 52][158]=30604241434262525
[62611][ 52][159]=30604241434262527
[62612][ 52][160]=30604241434262705
[62613][ 52][161]=30604241434262707
[62614][ 52][162]=30604241434262725
[62615][ 52][163]=30604241434262727
[62616][ 52][164]=30604241436040505
[62617][ 52][165]=30604241436040507
[62618][ 52][166]=30604241436040525
[62619][ 52][167]=30604241436040527
[62620][ 52][168]=30604241436040705
[62621][ 52][169]=30604241436040707
[62622][ 52][170]=30604241436040725
[62623][ 52][171]=30604241436040727
[62624][ 52][172]=30604241436042505
[62625][ 52][173]=30604241436042507
[62626][ 52][174]=30604241436042525
[62627][ 52][175]=30604241436042527
[62628][ 52][176]=30604241436042705
[62629][ 52][177]=30604241436042707
[62630][ 52][178]=30604241436042725
[62631][ 52][179]=30604241436042727
[62632][ 52][180]=30604241436060505
[62633][ 52][181]=30604241436060507
[62634][ 52][182]=30604241436060525
[62635][ 52][183]=30604241436060527
[62636][ 52][184]=30604241436060705
[62637][ 52][185]=30604241436060707
[62638][ 52][186]=30604241436060725
[62639][ 52][187]=30604241436060727
[62640][ 52][188]=30604241436062505
[62641][ 52][189]=30604241436062507
[62642][ 52][190]=30604241436062525
[62643][ 52][191]=30604241436062527
[62644][ 52][192]=30604241436062705
[62645][ 52][193]=30604241436062707
[62646][ 52][194]=30604241436062725
[62647][ 52][195]=30604241436062727
[62648][ 52][196]=30604241436240505
[62649][ 52][197]=30604241436240507
[62650][ 52][198]=30604241436240525
[62651][ 52][199]=30604241436240527
[62652][ 52][200]=30604241436240705
[62653][ 52][201]=30604241436240707
[62654][ 52][202]=30604241436240725
[62655][ 52][203]=30604241436240727
[62656][ 52][204]=30604241436242505
[62657][ 52][205]=30604241436242507
[62658][ 52][206]=30604241436242525
[62659][ 52][207]=30604241436242527
[62660][ 52][208]=30604241436242705
[62661][ 52][209]=30604241436242707
[62662][ 52][210]=30604241436242725
[62663][ 52][211]=30604241436242727
[62664][ 52][212]=30604241436260505
[62665][ 52][213]=30604241436260507
[62666][ 52][214]=30604241436260525
[62667][ 52][215]=30604241436260527
[62668][ 52][216]=30604241436260705
[62669][ 52][217]=30604241436260707
[62670][ 52][218]=30604241436260725
[62671][ 52][219]=30604241436260727
[62672][ 52][220]=30604241436262505
[62673][ 52][221]=30604241436262507
[62674][ 52][222]=30604241436262525
[62675][ 52][223]=30604241436262527
[62676][ 52][224]=30604241436262705
[62677][ 52][225]=30604241436262707
[62678][ 52][226]=30604241436262725
[62679][ 52][227]=30604241436262727
[63753][ 53][100]=30604241434040514
[63754][ 53][101]=30604241434040516
[63755][ 53][102]=30604241434040534
[63756][ 53][103]=30604241434040536
[63757][ 53][104]=30604241434040714
[63758][ 53][105]=30604241434040716
[63759][ 53][106]=30604241434040734
[63760][ 53][107]=30604241434040736
