[363903][303][  0]=30604241514062604
[363972][303][ 69]=30604241516240406
[363973][303][ 70]=30604241516240424
[363974][303][ 71]=30604241516240426
[363975][303][ 72]=30604241516240604
[363976][303][ 73]=30604241516240606
[363977][303][ 74]=30604241516240624
[363978][303][ 75]=30604241516240626
[363979][303][ 76]=30604241516242404
[363980][303][ 77]=30604241516242406
[363981][303][ 78]=30604241516242424
[363982][303][ 79]=30604241516242426
[363983][303][ 80]=30604241516242604
[363984][303][ 81]=30604241516242606
[363985][303][ 82]=30604241516242624
[363986][303][ 83]=30604241516242626
[363987][303][ 84]=30604241516260404
[363988][303][ 85]=30604241516260406
[363989][303][ 86]=30604241516260424
[363990][303][ 87]=30604241516260426
[363991][303][ 88]=30604241516260604
[363992][303][ 89]=30604241516260606
[363993][303][ 90]=30604241516260624
[363994][303][ 91]=30604241516260626
[363995][303][ 92]=30604241516262404
[363996][303][ 93]=30604241516262406
[363997][303][ 94]=30604241516262424
[363998][303][ 95]=30604241516262426
[363999][303][ 96]=30604241516262604
[364000][303][ 97]=30604241516262606
[364001][303][ 98]=30604241516262624
[364002][303][ 99]=30604241516262626
[365104][304][  0]=30604241514062605
[365105][304][  1]=30604241514062607
[365106][304][  2]=30604241514062625
[365107][304][  3]=30604241514062627
[365108][304][  4]=30604241514240405
[365109][304][  5]=30604241514240407
[365110][304][  6]=30604241514240425
[365111][304][  7]=30604241514240427
[365112][304][  8]=30604241514240605
[365113][304][  9]=30604241514240607
[365114][304][ 10]=30604241514240625
[365115][304][ 11]=30604241514240627
[365116][304][ 12]=30604241514242405
[365117][304][ 13]=30604241514242407
[365118][304][ 14]=30604241514242425
[365119][304][ 15]=30604241514242427
[365120][304][ 16]=30604241514242605
[365121][304][ 17]=30604241514242607
[365122][304][ 18]=30604241514242625
[365123][304][ 19]=30604241514242627
[365124][304][ 20]=30604241514260405
[365125][304][ 21]=30604241514260407
[365126][304][ 22]=30604241514260425
[365127][304][ 23]=30604241514260427
[365128][304][ 24]=30604241514260605
[365129][304][ 25]=30604241514260607
[365130][304][ 26]=30604241514260625
[365131][304][ 27]=30604241514260627
[365132][304][ 28]=30604241514262405
[365133][304][ 29]=30604241514262407
[365134][304][ 30]=30604241514262425
[365135][304][ 31]=30604241514262427
[365136][304][ 32]=30604241514262605
[365137][304][ 33]=30604241514262607
[365138][304][ 34]=30604241514262625
[365139][304][ 35]=30604241514262627
[365140][304][ 36]=30604241516040405
[365141][304][ 37]=30604241516040407
[365142][304][ 38]=30604241516040425
[365143][304][ 39]=30604241516040427
[365144][304][ 40]=30604241516040605
[365145][304][ 41]=30604241516040607
[365146][304][ 42]=30604241516040625
[365147][304][ 43]=30604241516040627
[365148][304][ 44]=30604241516042405
[365149][304][ 45]=30604241516042407
[365150][304][ 46]=30604241516042425
[365151][304][ 47]=30604241516042427
[365152][304][ 48]=30604241516042605
[365153][304][ 49]=30604241516042607
[365154][304][ 50]=30604241516042625
[365155][304][ 51]=30604241516042627
[365156][304][ 52]=30604241516060405
[365157][304][ 53]=30604241516060407
[365158][304][ 54]=30604241516060425
[365159][304][ 55]=30604241516060427
[365160][304][ 56]=30604241516060605
[365161][304][ 57]=30604241516060607
[365162][304][ 58]=30604241516060625
[365163][304][ 59]=30604241516060627
[365164][304][ 60]=30604241516062405
[365165][304][ 61]=30604241516062407
[365166][304][ 62]=30604241516062425
[365167][304][ 63]=30604241516062427
[365168][304][ 64]=30604241516062605
[365169][304][ 65]=30604241516062607
[365170][304][ 66]=30604241516062625
[365171][304][ 67]=30604241516062627
[365172][304][ 68]=30604241516240405
[365173][304][ 69]=30604241516240407
[365174][304][ 70]=30604241516240425
[365175][304][ 71]=30604241516240427
[365176][304][ 72]=30604241516240605
[365177][304][ 73]=30604241516240607
[365178][304][ 74]=30604241516240625
[365179][304][ 75]=30604241516240627
[365180][304][ 76]=30604241516242405
[365181][304][ 77]=30604241516242407
[365182][304][ 78]=30604241516242425
[365183][304][ 79]=30604241516242427
[365184][304][ 80]=30604241516242605
[365185][304][ 81]=30604241516242607
[365186][304][ 82]=30604241516242625
[365187][304][ 83]=30604241516242627
[365188][304][ 84]=30604241516260405
[365189][304][ 85]=30604241516260407
[365190][304][ 86]=30604241516260425
[365191][304][ 87]=30604241516260427
[365192][304][ 88]=30604241516260605
[365193][304][ 89]=30604241516260607
[365194][304][ 90]=30604241516260625
[365195][304][ 91]=30604241516260627
[365196][304][ 92]=30604241516262405
[365197][304][ 93]=30604241516262407
[365198][304][ 94]=30604241516262425
[365199][304][ 95]=30604241516262427
[365200][304][ 96]=30604241516262605
[365201][304][ 97]=30604241516262607
[365202][304][ 98]=30604241516262625
[365203][304][ 99]=30604241516262627
[366305][305][  0]=30604241514062614
[366306][305][  1]=30604241514062616
[366307][305][  2]=30604241514062634
[366308][305][  3]=30604241514062636
[366309][305][  4]=30604241514240414
[366310][305][  5]=30604241514240416
[366311][305][  6]=30604241514240434
[366312][305][  7]=30604241514240436
[366313][305][  8]=30604241514240614
[366314][305][  9]=30604241514240616
[366315][305][ 10]=30604241514240634
[366316][305][ 11]=30604241514240636
[366317][305][ 12]=30604241514242414
[366318][305][ 13]=30604241514242416
[366319][305][ 14]=30604241514242434
[366320][305][ 15]=30604241514242436
[366321][305][ 16]=30604241514242614
[366322][305][ 17]=30604241514242616
[366323][305][ 18]=30604241514242634
[366324][305][ 19]=30604241514242636
[366325][305][ 20]=30604241514260414
[366326][305][ 21]=30604241514260416
[366327][305][ 22]=30604241514260434
[366328][305][ 23]=30604241514260436
[366329][305][ 24]=30604241514260614
[366330][305][ 25]=30604241514260616
[366331][305][ 26]=30604241514260634
[366332][305][ 27]=30604241514260636
[366333][305][ 28]=30604241514262414
[366334][305][ 29]=30604241514262416
[366335][305][ 30]=30604241514262434
[366336][305][ 31]=30604241514262436
[366337][305][ 32]=30604241514262614
[366338][305][ 33]=30604241514262616
[366339][305][ 34]=30604241514262634
[366340][305][ 35]=30604241514262636
[366341][305][ 36]=30604241516040414
[366342][305][ 37]=30604241516040416
[366343][305][ 38]=30604241516040434
[366344][305][ 39]=30604241516040436
[366345][305][ 40]=30604241516040614
[366346][305][ 41]=30604241516040616
[366347][305][ 42]=30604241516040634
[366348][305][ 43]=30604241516040636
[366349][305][ 44]=30604241516042414
[366350][305][ 45]=30604241516042416
[366351][305][ 46]=30604241516042434
[366352][305][ 47]=30604241516042436
[366353][305][ 48]=30604241516042614
[366354][305][ 49]=30604241516042616
[366355][305][ 50]=30604241516042634
[366356][305][ 51]=30604241516042636
[366357][305][ 52]=30604241516060414
[366358][305][ 53]=30604241516060416
[366359][305][ 54]=30604241516060434
[366360][305][ 55]=30604241516060436
[366361][305][ 56]=30604241516060614
[366362][305][ 57]=30604241516060616
[366363][305][ 58]=30604241516060634
[366364][305][ 59]=30604241516060636
[366365][305][ 60]=30604241516062414
[366366][305][ 61]=30604241516062416
[366367][305][ 62]=30604241516062434
[366368][305][ 63]=30604241516062436
[366369][305][ 64]=30604241516062614
[366370][305][ 65]=30604241516062616
[366371][305][ 66]=30604241516062634
[366372][305][ 67]=30604241516062636
[366373][305][ 68]=30604241516240414
[366374][305][ 69]=30604241516240416
[366375][305][ 70]=30604241516240434
[366376][305][ 71]=30604241516240436
[366377][305][ 72]=30604241516240614
[366378][305][ 73]=30604241516240616
[366379][305][ 74]=30604241516240634
[366380][305][ 75]=30604241516240636
[366381][305][ 76]=30604241516242414
[366382][305][ 77]=30604241516242416
[366383][305][ 78]=30604241516242434
[366384][305][ 79]=30604241516242436
[366385][305][ 80]=30604241516242614
[366386][305][ 81]=30604241516242616
[366387][305][ 82]=30604241516242634
[366388][305][ 83]=30604241516242636
[366389][305][ 84]=30604241516260414
[366390][305][ 85]=30604241516260416
[366391][305][ 86]=30604241516260434
[366392][305][ 87]=30604241516260436
[366393][305][ 88]=30604241516260614
[366394][305][ 89]=30604241516260616
[366395][305][ 90]=30604241516260634
[366396][305][ 91]=30604241516260636
[366397][305][ 92]=30604241516262414
[366398][305][ 93]=30604241516262416
[366399][305][ 94]=30604241516262434
[366400][305][ 95]=30604241516262436
[366401][305][ 96]=30604241516262614
[366402][305][ 97]=30604241516262616
[366403][305][ 98]=30604241516262634
[366404][305][ 99]=30604241516262636
[367506][306][  0]=30604241514062615
[367507][306][  1]=30604241514062617
[367508][306][  2]=30604241514062635
[367509][306][  3]=30604241514062637
[367510][306][  4]=30604241514240415
[367511][306][  5]=30604241514240417
[367512][306][  6]=30604241514240435
[367513][306][  7]=30604241514240437
[367514][306][  8]=30604241514240615
[367515][306][  9]=30604241514240617
[367516][306][ 10]=30604241514240635
[367517][306][ 11]=30604241514240637
[367518][306][ 12]=30604241514242415
[367519][306][ 13]=30604241514242417
[367520][306][ 14]=30604241514242435
[367521][306][ 15]=30604241514242437
[367522][306][ 16]=30604241514242615
[367523][306][ 17]=30604241514242617
[367524][306][ 18]=30604241514242635
[367525][306][ 19]=30604241514242637
[367526][306][ 20]=30604241514260415
[367527][306][ 21]=30604241514260417
[367528][306][ 22]=30604241514260435
[367529][306][ 23]=30604241514260437
[367530][306][ 24]=30604241514260615
[367531][306][ 25]=30604241514260617
[367532][306][ 26]=30604241514260635
[367533][306][ 27]=30604241514260637
[367534][306][ 28]=30604241514262415
[367535][306][ 29]=30604241514262417
[367536][306][ 30]=30604241514262435
[367537][306][ 31]=30604241514262437
[367538][306][ 32]=30604241514262615
[367539][306][ 33]=30604241514262617
[367540][306][ 34]=30604241514262635
[367541][306][ 35]=30604241514262637
[367542][306][ 36]=30604241516040415
[367543][306][ 37]=30604241516040417
[367544][306][ 38]=30604241516040435
[367545][306][ 39]=30604241516040437
[367546][306][ 40]=30604241516040615
[367547][306][ 41]=30604241516040617
[367548][306][ 42]=30604241516040635
[367549][306][ 43]=30604241516040637
[367550][306][ 44]=30604241516042415
[367551][306][ 45]=30604241516042417
[367552][306][ 46]=30604241516042435
[367553][306][ 47]=30604241516042437
[367554][306][ 48]=30604241516042615
[367555][306][ 49]=30604241516042617
[367556][306][ 50]=30604241516042635
[367557][306][ 51]=30604241516042637
[367558][306][ 52]=30604241516060415
[367559][306][ 53]=30604241516060417
[367560][306][ 54]=30604241516060435
[367561][306][ 55]=30604241516060437
[367562][306][ 56]=30604241516060615
[367563][306][ 57]=30604241516060617
[367564][306][ 58]=30604241516060635
[367565][306][ 59]=30604241516060637
[367566][306][ 60]=30604241516062415
[367567][306][ 61]=30604241516062417
[367568][306][ 62]=30604241516062435
[367569][306][ 63]=30604241516062437
[367570][306][ 64]=30604241516062615
[367571][306][ 65]=30604241516062617
[367572][306][ 66]=30604241516062635
[367573][306][ 67]=30604241516062637
[367574][306][ 68]=30604241516240415
[367575][306][ 69]=30604241516240417
[367576][306][ 70]=30604241516240435
[367577][306][ 71]=30604241516240437
[367578][306][ 72]=30604241516240615
[367579][306][ 73]=30604241516240617
[367580][306][ 74]=30604241516240635
[367581][306][ 75]=30604241516240637
[367582][306][ 76]=30604241516242415
[367583][306][ 77]=30604241516242417
[367584][306][ 78]=30604241516242435
[367585][306][ 79]=30604241516242437
[367586][306][ 80]=30604241516242615
[367587][306][ 81]=30604241516242617
[367588][306][ 82]=30604241516242635
[367589][306][ 83]=30604241516242637
[367590][306][ 84]=30604241516260415
[367591][306][ 85]=30604241516260417
[367592][306][ 86]=30604241516260435
[367593][306][ 87]=30604241516260437
[367594][306][ 88]=30604241516260615
[367595][306][ 89]=30604241516260617
[367596][306][ 90]=30604241516260635
[367597][306][ 91]=30604241516260637
[367598][306][ 92]=30604241516262415
[367599][306][ 93]=30604241516262417
[367600][306][ 94]=30604241516262435
[367601][306][ 95]=30604241516262437
[367602][306][ 96]=30604241516262615
[367603][306][ 97]=30604241516262617
[367604][306][ 98]=30604241516262635
[367605][306][ 99]=30604241516262637
[368707][307][  0]=30604241514062704
[368708][307][  1]=30604241514062706
[368709][307][  2]=30604241514062724
[368710][307][  3]=30604241514062726
[368711][307][  4]=30604241514240504
[368712][307][  5]=30604241514240506
[368713][307][  6]=30604241514240524
[368714][307][  7]=30604241514240526
[368715][307][  8]=30604241514240704
[368716][307][  9]=30604241514240706
[368717][307][ 10]=30604241514240724
[368718][307][ 11]=30604241514240726
[368719][307][ 12]=30604241514242504
[368720][307][ 13]=30604241514242506
[368721][307][ 14]=30604241514242524
[368722][307][ 15]=30604241514242526
[368723][307][ 16]=30604241514242704
[368724][307][ 17]=30604241514242706
[368725][307][ 18]=30604241514242724
[368726][307][ 19]=30604241514242726
[368727][307][ 20]=30604241514260504
[368728][307][ 21]=30604241514260506
[368729][307][ 22]=30604241514260524
[368730][307][ 23]=30604241514260526
[368731][307][ 24]=30604241514260704
[368732][307][ 25]=30604241514260706
[368733][307][ 26]=30604241514260724
[368734][307][ 27]=30604241514260726
[368735][307][ 28]=30604241514262504
[368736][307][ 29]=30604241514262506
[368737][307][ 30]=30604241514262524
[368738][307][ 31]=30604241514262526
[368739][307][ 32]=30604241514262704
[368740][307][ 33]=30604241514262706
[368741][307][ 34]=30604241514262724
[368742][307][ 35]=30604241514262726
[368743][307][ 36]=30604241516040504
[368744][307][ 37]=30604241516040506
[368745][307][ 38]=30604241516040524
[368746][307][ 39]=30604241516040526
[368747][307][ 40]=30604241516040704
[368748][307][ 41]=30604241516040706
[368749][307][ 42]=30604241516040724
[368750][307][ 43]=30604241516040726
[368751][307][ 44]=30604241516042504
[368752][307][ 45]=30604241516042506
[368753][307][ 46]=30604241516042524
[368754][307][ 47]=30604241516042526
[368755][307][ 48]=30604241516042704
[368756][307][ 49]=30604241516042706
[368757][307][ 50]=30604241516042724
[368758][307][ 51]=30604241516042726
[368759][307][ 52]=30604241516060504
[368760][307][ 53]=30604241516060506
[368761][307][ 54]=30604241516060524
[368762][307][ 55]=30604241516060526
[368763][307][ 56]=30604241516060704
[368764][307][ 57]=30604241516060706
[368765][307][ 58]=30604241516060724
[368766][307][ 59]=30604241516060726
[368767][307][ 60]=30604241516062504
[368768][307][ 61]=30604241516062506
[368769][307][ 62]=30604241516062524
[368770][307][ 63]=30604241516062526
[368771][307][ 64]=30604241516062704
[368772][307][ 65]=30604241516062706
[368773][307][ 66]=30604241516062724
[368774][307][ 67]=30604241516062726
[368775][307][ 68]=30604241516240504
[368776][307][ 69]=30604241516240506
[368777][307][ 70]=30604241516240524
[368778][307][ 71]=30604241516240526
[368779][307][ 72]=30604241516240704
[368780][307][ 73]=30604241516240706
[368781][307][ 74]=30604241516240724
[368782][307][ 75]=30604241516240726
[368783][307][ 76]=30604241516242504
[368784][307][ 77]=30604241516242506
[368785][307][ 78]=30604241516242524
[368786][307][ 79]=30604241516242526
[368787][307][ 80]=30604241516242704
[368788][307][ 81]=30604241516242706
[368789][307][ 82]=30604241516242724
[368790][307][ 83]=30604241516242726
[368791][307][ 84]=30604241516260504
[368792][307][ 85]=30604241516260506
[368793][307][ 86]=30604241516260524
[368794][307][ 87]=30604241516260526
[368795][307][ 88]=30604241516260704
[368796][307][ 89]=30604241516260706
[368797][307][ 90]=30604241516260724
[368798][307][ 91]=30604241516260726
[368799][307][ 92]=30604241516262504
[368800][307][ 93]=30604241516262506
[368801][307][ 94]=30604241516262524
[368802][307][ 95]=30604241516262526
[368803][307][ 96]=30604241516262704
[368804][307][ 97]=30604241516262706
[368805][307][ 98]=30604241516262724
[368806][307][ 99]=30604241516262726
[369908][308][  0]=30604241514062705
[369909][308][  1]=30604241514062707
[369910][308][  2]=30604241514062725
[369911][308][  3]=30604241514062727
[369912][308][  4]=30604241514240505
[369913][308][  5]=30604241514240507
[369914][308][  6]=30604241514240525
[369915][308][  7]=30604241514240527
[369916][308][  8]=30604241514240705
[369917][308][  9]=30604241514240707
[369918][308][ 10]=30604241514240725
[369919][308][ 11]=30604241514240727
[369920][308][ 12]=30604241514242505
[369921][308][ 13]=30604241514242507
[369922][308][ 14]=30604241514242525
[369923][308][ 15]=30604241514242527
[369924][308][ 16]=30604241514242705
[369925][308][ 17]=30604241514242707
[369926][308][ 18]=30604241514242725
[369927][308][ 19]=30604241514242727
[369928][308][ 20]=30604241514260505
[369929][308][ 21]=30604241514260507
[369930][308][ 22]=30604241514260525
[369931][308][ 23]=30604241514260527
[369932][308][ 24]=30604241514260705
[369933][308][ 25]=30604241514260707
[369934][308][ 26]=30604241514260725
[369935][308][ 27]=30604241514260727
[369936][308][ 28]=30604241514262505
[369937][308][ 29]=30604241514262507
[369938][308][ 30]=30604241514262525
[369939][308][ 31]=30604241514262527
[369940][308][ 32]=30604241514262705
[369941][308][ 33]=30604241514262707
[369942][308][ 34]=30604241514262725
[369943][308][ 35]=30604241514262727
[369944][308][ 36]=30604241516040505
[369945][308][ 37]=30604241516040507
[369946][308][ 38]=30604241516040525
[369947][308][ 39]=30604241516040527
[369948][308][ 40]=30604241516040705
[369949][308][ 41]=30604241516040707
[369950][308][ 42]=30604241516040725
[369951][308][ 43]=30604241516040727
[369952][308][ 44]=30604241516042505
[369953][308][ 45]=30604241516042507
[369954][308][ 46]=30604241516042525
[369955][308][ 47]=30604241516042527
[369956][308][ 48]=30604241516042705
[369957][308][ 49]=30604241516042707
[369958][308][ 50]=30604241516042725
[369959][308][ 51]=30604241516042727
[369960][308][ 52]=30604241516060505
[369961][308][ 53]=30604241516060507
[369962][308][ 54]=30604241516060525
[369963][308][ 55]=30604241516060527
[369964][308][ 56]=30604241516060705
[369965][308][ 57]=30604241516060707
[369966][308][ 58]=30604241516060725
[369967][308][ 59]=30604241516060727
[369968][308][ 60]=30604241516062505
[369969][308][ 61]=30604241516062507
[369970][308][ 62]=30604241516062525
[369971][308][ 63]=30604241516062527
[369972][308][ 64]=30604241516062705
[369973][308][ 65]=30604241516062707
[369974][308][ 66]=30604241516062725
[369975][308][ 67]=30604241516062727
[369976][308][ 68]=30604241516240505
[369977][308][ 69]=30604241516240507
[369978][308][ 70]=30604241516240525
[369979][308][ 71]=30604241516240527
[369980][308][ 72]=30604241516240705
[369981][308][ 73]=30604241516240707
[369982][308][ 74]=30604241516240725
[369983][308][ 75]=30604241516240727
[369984][308][ 76]=30604241516242505
[369985][308][ 77]=30604241516242507
[369986][308][ 78]=30604241516242525
[369987][308][ 79]=30604241516242527
[369988][308][ 80]=30604241516242705
[369989][308][ 81]=30604241516242707
[369990][308][ 82]=30604241516242725
[369991][308][ 83]=30604241516242727
[369992][308][ 84]=30604241516260505
[369993][308][ 85]=30604241516260507
[369994][308][ 86]=30604241516260525
[369995][308][ 87]=30604241516260527
[369996][308][ 88]=30604241516260705
[369997][308][ 89]=30604241516260707
[369998][308][ 90]=30604241516260725
[369999][308][ 91]=30604241516260727
[370000][308][ 92]=30604241516262505
[370001][308][ 93]=30604241516262507
[370002][308][ 94]=30604241516262525
[370003][308][ 95]=30604241516262527
[370004][308][ 96]=30604241516262705
[370005][308][ 97]=30604241516262707
[370006][308][ 98]=30604241516262725
[370007][308][ 99]=30604241516262727
[371109][309][  0]=30604241514062714
[371110][309][  1]=30604241514062716
[371111][309][  2]=30604241514062734
[371112][309][  3]=30604241514062736
[371113][309][  4]=30604241514240514
[371114][309][  5]=30604241514240516
[371115][309][  6]=30604241514240534
[371116][309][  7]=30604241514240536
[371117][309][  8]=30604241514240714
[371118][309][  9]=30604241514240716
[371119][309][ 10]=30604241514240734
[371120][309][ 11]=30604241514240736
[371121][309][ 12]=30604241514242514
[371122][309][ 13]=30604241514242516
[371123][309][ 14]=30604241514242534
[371124][309][ 15]=30604241514242536
[371125][309][ 16]=30604241514242714
[371126][309][ 17]=30604241514242716
[371127][309][ 18]=30604241514242734
[371128][309][ 19]=30604241514242736
[371129][309][ 20]=30604241514260514
[371130][309][ 21]=30604241514260516
[371131][309][ 22]=30604241514260534
[371132][309][ 23]=30604241514260536
[371133][309][ 24]=30604241514260714
[371134][309][ 25]=30604241514260716
[371135][309][ 26]=30604241514260734
[371136][309][ 27]=30604241514260736
[371137][309][ 28]=30604241514262514
[371138][309][ 29]=30604241514262516
[371139][309][ 30]=30604241514262534
[371140][309][ 31]=30604241514262536
[371141][309][ 32]=30604241514262714
[371142][309][ 33]=30604241514262716
[371143][309][ 34]=30604241514262734
[371144][309][ 35]=30604241514262736
[371145][309][ 36]=30604241516040514
[371146][309][ 37]=30604241516040516
[371147][309][ 38]=30604241516040534
[371148][309][ 39]=30604241516040536
[371149][309][ 40]=30604241516040714
[371150][309][ 41]=30604241516040716
[371151][309][ 42]=30604241516040734
[371152][309][ 43]=30604241516040736
[371153][309][ 44]=30604241516042514
[371154][309][ 45]=30604241516042516
[371155][309][ 46]=30604241516042534
[371156][309][ 47]=30604241516042536
[371157][309][ 48]=30604241516042714
[371158][309][ 49]=30604241516042716
[371159][309][ 50]=30604241516042734
[371160][309][ 51]=30604241516042736
[371161][309][ 52]=30604241516060514
[371162][309][ 53]=30604241516060516
[371163][309][ 54]=30604241516060534
[371164][309][ 55]=30604241516060536
[371165][309][ 56]=30604241516060714
[371166][309][ 57]=30604241516060716
[371167][309][ 58]=30604241516060734
[371168][309][ 59]=30604241516060736
[371169][309][ 60]=30604241516062514
[371170][309][ 61]=30604241516062516
[371171][309][ 62]=30604241516062534
[371172][309][ 63]=30604241516062536
[371173][309][ 64]=30604241516062714
[371174][309][ 65]=30604241516062716
[371175][309][ 66]=30604241516062734
[371176][309][ 67]=30604241516062736
[371177][309][ 68]=30604241516240514
[371178][309][ 69]=30604241516240516
[371179][309][ 70]=30604241516240534
[371180][309][ 71]=30604241516240536
[371181][309][ 72]=30604241516240714
[371182][309][ 73]=30604241516240716
[371183][309][ 74]=30604241516240734
[371184][309][ 75]=30604241516240736
[371185][309][ 76]=30604241516242514
[371186][309][ 77]=30604241516242516
[371187][309][ 78]=30604241516242534
[371188][309][ 79]=30604241516242536
[371189][309][ 80]=30604241516242714
[371190][309][ 81]=30604241516242716
[371191][309][ 82]=30604241516242734
[371192][309][ 83]=30604241516242736
[371193][309][ 84]=30604241516260514
[371194][309][ 85]=30604241516260516
[371195][309][ 86]=30604241516260534
[371196][309][ 87]=30604241516260536
[371197][309][ 88]=30604241516260714
[371198][309][ 89]=30604241516260716
[371199][309][ 90]=30604241516260734
[371200][309][ 91]=30604241516260736
[371201][309][ 92]=30604241516262514
[371202][309][ 93]=30604241516262516
[371203][309][ 94]=30604241516262534
[371204][309][ 95]=30604241516262536
[371205][309][ 96]=30604241516262714
[371206][309][ 97]=30604241516262716
[371207][309][ 98]=30604241516262734
[371208][309][ 99]=30604241516262736
[372310][310][  0]=30604241514062715
[372311][310][  1]=30604241514062717
[372312][310][  2]=30604241514062735
[372313][310][  3]=30604241514062737
[372314][310][  4]=30604241514240515
[372315][310][  5]=30604241514240517
[372316][310][  6]=30604241514240535
[372317][310][  7]=30604241514240537
[372318][310][  8]=30604241514240715
[372319][310][  9]=30604241514240717
[372320][310][ 10]=30604241514240735
[372321][310][ 11]=30604241514240737
[372322][310][ 12]=30604241514242515
[372323][310][ 13]=30604241514242517
[372324][310][ 14]=30604241514242535
[372325][310][ 15]=30604241514242537
[372326][310][ 16]=30604241514242715
[372327][310][ 17]=30604241514242717
[372328][310][ 18]=30604241514242735
[372329][310][ 19]=30604241514242737
[372330][310][ 20]=30604241514260515
[372331][310][ 21]=30604241514260517
[372332][310][ 22]=30604241514260535
[372333][310][ 23]=30604241514260537
[372334][310][ 24]=30604241514260715
[372335][310][ 25]=30604241514260717
[372336][310][ 26]=30604241514260735
[372337][310][ 27]=30604241514260737
[372338][310][ 28]=30604241514262515
[372339][310][ 29]=30604241514262517
[372340][310][ 30]=30604241514262535
[372341][310][ 31]=30604241514262537
[372342][310][ 32]=30604241514262715
[372343][310][ 33]=30604241514262717
[372344][310][ 34]=30604241514262735
[372345][310][ 35]=30604241514262737
[372346][310][ 36]=30604241516040515
[372347][310][ 37]=30604241516040517
[372348][310][ 38]=30604241516040535
[372349][310][ 39]=30604241516040537
[372350][310][ 40]=30604241516040715
[372351][310][ 41]=30604241516040717
[372352][310][ 42]=30604241516040735
[372353][310][ 43]=30604241516040737
[372354][310][ 44]=30604241516042515
[372355][310][ 45]=30604241516042517
[372356][310][ 46]=30604241516042535
[372357][310][ 47]=30604241516042537
[372358][310][ 48]=30604241516042715
[372359][310][ 49]=30604241516042717
[372360][310][ 50]=30604241516042735
[372361][310][ 51]=30604241516042737
[372362][310][ 52]=30604241516060515
[372363][310][ 53]=30604241516060517
[372364][310][ 54]=30604241516060535
[372365][310][ 55]=30604241516060537
[372366][310][ 56]=30604241516060715
[372367][310][ 57]=30604241516060717
[372368][310][ 58]=30604241516060735
[372369][310][ 59]=30604241516060737
[372370][310][ 60]=30604241516062515
[372371][310][ 61]=30604241516062517
[372372][310][ 62]=30604241516062535
[372373][310][ 63]=30604241516062537
[372374][310][ 64]=30604241516062715
[372375][310][ 65]=30604241516062717
[372376][310][ 66]=30604241516062735
[372377][310][ 67]=30604241516062737
[372378][310][ 68]=30604241516240515
[372379][310][ 69]=30604241516240517
[372380][310][ 70]=30604241516240535
[372381][310][ 71]=30604241516240537
[372382][310][ 72]=30604241516240715
[372383][310][ 73]=30604241516240717
[372384][310][ 74]=30604241516240735
[372385][310][ 75]=30604241516240737
[372386][310][ 76]=30604241516242515
[372387][310][ 77]=30604241516242517
[372388][310][ 78]=30604241516242535
[372389][310][ 79]=30604241516242537
[372390][310][ 80]=30604241516242715
